"index","bottlecode","wvl","abs"
1,"1188-16",200,0.6821
2,"1188-16",201,0.6042
3,"1188-16",202,0.5623
4,"1188-16",203,0.5297
5,"1188-16",204,0.5007
6,"1188-16",205,0.4766
7,"1188-16",206,0.4575
8,"1188-16",207,0.4412
9,"1188-16",208,0.4256
10,"1188-16",209,0.4107
11,"1188-16",210,0.3978
12,"1188-16",211,0.3863
13,"1188-16",212,0.3749
14,"1188-16",213,0.3642
15,"1188-16",214,0.3551
16,"1188-16",215,0.3469
17,"1188-16",216,0.3387
18,"1188-16",217,0.3303
19,"1188-16",218,0.3231
20,"1188-16",219,0.3165
21,"1188-16",220,0.3095
22,"1188-16",221,0.3034
23,"1188-16",222,0.2973
24,"1188-16",223,0.291
25,"1188-16",224,0.2855
26,"1188-16",225,0.2798
27,"1188-16",226,0.2741
28,"1188-16",227,0.2686
29,"1188-16",228,0.2636
30,"1188-16",229,0.2581
31,"1188-16",230,0.2528
32,"1188-16",231,0.2479
33,"1188-16",232,0.2427
34,"1188-16",233,0.2377
35,"1188-16",234,0.2334
36,"1188-16",235,0.2292
37,"1188-16",236,0.2253
38,"1188-16",237,0.2214
39,"1188-16",238,0.218
40,"1188-16",239,0.2149
41,"1188-16",240,0.2117
42,"1188-16",241,0.2088
43,"1188-16",242,0.2062
44,"1188-16",243,0.2042
45,"1188-16",244,0.2015
46,"1188-16",245,0.1995
47,"1188-16",246,0.1977
48,"1188-16",247,0.1951
49,"1188-16",248,0.1932
50,"1188-16",249,0.1918
51,"1188-16",250,0.1898
52,"1188-16",251,0.1884
53,"1188-16",252,0.1866
54,"1188-16",253,0.1848
55,"1188-16",254,0.1834
56,"1188-16",255,0.1816
57,"1188-16",256,0.1803
58,"1188-16",257,0.1782
59,"1188-16",258,0.1769
60,"1188-16",259,0.1752
61,"1188-16",260,0.1735
62,"1188-16",261,0.1722
63,"1188-16",262,0.1708
64,"1188-16",263,0.1688
65,"1188-16",264,0.1678
66,"1188-16",265,0.1658
67,"1188-16",266,0.1646
68,"1188-16",267,0.1625
69,"1188-16",268,0.1608
70,"1188-16",269,0.1589
71,"1188-16",270,0.1572
72,"1188-16",271,0.1549
73,"1188-16",272,0.1526
74,"1188-16",273,0.1509
