fileprefix,bottlecode,dateran
LBR001,0605-16,3/4/2023
LBR002,0604-16,3/4/2023
LBR003,1920-16,3/4/2023
LBR004,0606-16,3/4/2023
LBR005,0603-16,3/4/2023
LBR006,1929-16,3/4/2023
LBR007,1930-16,3/4/2023
LBR008,1925-16,3/4/2023
LBR009,1928-16,3/4/2023
LBR010,1928-16 rep,3/4/2023
LBR011,DI,3/4/2023
SAB22001,0927-16,12/5/22
SAB22003,0922-16,12/5/22
SAB22004,0921-16,12/5/22
SAB22005,0598-16,12/5/22
SAB22006,0913-16,12/5/22
SAB22007,0914-16,12/5/22
SAB22008,0917-16,12/5/22
SAB22009,0918-16,12/5/22
SAB22010,0925-16,12/5/22
SAB22011,0596-16,12/5/22
SAB22012,0926-16,12/5/22
SAB22013,0924-16,12/5/22
SAB22014,0602-16,12/5/22
SAB22015,0595-16,12/5/22
SAB22016,0593-16,12/5/22
SAB22017,0599-16,12/5/22
SAB22018,DI,12/5/22
SAB22019,0602-16 rep,12/5/22
LWNOV001,0901-16,11/17/22
LWNOV002,0906-16,11/17/22
LWNOV003,0907-16,11/17/22
LWNOV004,0587-16,11/17/22
LWNOV005,0909-16,11/17/22
LWNOV006,0905-16,11/17/22
LWNOV007,DI,11/17/22
AH1001,DI,08/12/22
AH1002,1190-16,08/12/22
AH1003,1191-16,08/12/22
AH1004,1188-16,08/12/22
AH1005,1194-16,08/12/22
AH1006,1193-16,08/12/22
SPLWB001,0651-16,07/24/22
SPLWB003,0585-16,07/24/22
SPLWB004,0652-16,07/24/22
SPLWB005,0582-16,07/24/22
SPLWB006,0584-16,07/24/22
SPLWB007,0583-16,07/24/22
SPLW001,1612-10,09/03/21
SPLW002,1613-10,09/03/21
SPLW003,1614-10,09/03/21
SPLW004,1615-10,09/03/21
SPLW005,1610-10,09/03/21
LW001,0318-14,08/25/21
LW002,0126-10,08/25/21
LW003,0127-10,08/25/21
LW004,0124-10,08/25/21
LW005,DI,08/25/21
LMSP003,0123-10,08/20/21
LMSP004,0123-10 rep,08/20/21
LMSP005,DI,08/20/21
DAM004,0112-10,08/13/21
DAM005,0113-10,08/13/21
DAM006,0111-10,08/13/21
DAM007,0117-10,08/13/21
DAM008,0119-10,08/13/21
DAM009,0118-10,08/13/21
DAM010,DI,08/13/21
SPMM001,0101-10,07/30/21
SPMM004,0102-10,07/30/21
SPMM007,0103-10,07/30/21
SPMM008,0103-10 rep,07/30/21
SPMM009,0109-10,07/30/21
SPMM010,0109-10 rep,07/30/21
SPMM011,0099-10,07/30/21
SPMM012,0099-10 rep,07/30/21
SPMM013,0110-10,07/30/21
SPMM014,0110-10 rep,07/30/21
SPMM015,0105-10,07/30/21
SPMM016,0105-10 rep,07/30/21
SPMM017,0107-10,07/30/21
SPMM018,0107-10 rep,07/30/21
SPMM019,0100-10,07/30/21
SPMM020,0100-10 rep,07/30/21
SPMM021,0097-10,07/30/21
SPMM022,0097-10 rep,07/30/21
SPMM023,0108-10,07/30/21
SPMM024,0108-10 rep,07/30/21
SPMM025,0106-10,07/30/21
SPMM026,0106-10 rep,07/30/21
SPMM027,0098-10,07/30/21
SPMM028,0098-10 rep,07/30/21
SPMM029,0104-10,07/30/21
